Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28035070,CHILDMORT_DEATHS_10TO14,REGION,AFR,YEAR,1990,SEX,BTSX,,,,,,,158 659 [132 701-200 687],158659,132701,200687,,2022-01-26T15:47:00Z,1990,1990-01-01,1990-12-31
28035071,CHILDMORT_DEATHS_10TO14,REGION,AFR,YEAR,1991,SEX,BTSX,,,,,,,159 592 [134 770-198 313],159592,134770,198313,,2022-01-26T15:47:00Z,1991,1991-01-01,1991-12-31
28035072,CHILDMORT_DEATHS_10TO14,REGION,AFR,YEAR,1992,SEX,BTSX,,,,,,,162 722 [138 942-199 384],162722,138942,199384,,2022-01-26T15:47:00Z,1992,1992-01-01,1992-12-31
28035073,CHILDMORT_DEATHS_10TO14,REGION,AFR,YEAR,1993,SEX,BTSX,,,,,,,168 435 [144 876-203 898],168435,144876,203898,,2022-01-26T15:47:00Z,1993,1993-01-01,1993-12-31
28035074,CHILDMORT_DEATHS_10TO14,REGION,AFR,YEAR,1994,SEX,BTSX,,,,,,,189 088 [164 875-226 342],189088,164875,226342,,2022-01-26T15:47:00Z,1994,1994-01-01,1994-12-31
28035075,CHILDMORT_DEATHS_10TO14,REGION,AFR,YEAR,1995,SEX,BTSX,,,,,,,168 064 [145 708-200 352],168064,145708,200352,,2022-01-26T15:47:00Z,1995,1995-01-01,1995-12-31
28035076,CHILDMORT_DEATHS_10TO14,REGION,AFR,YEAR,1996,SEX,BTSX,,,,,,,168 559 [146 986-198 978],168559,146986,198978,,2022-01-26T15:47:00Z,1996,1996-01-01,1996-12-31
28035077,CHILDMORT_DEATHS_10TO14,REGION,AFR,YEAR,1997,SEX,BTSX,,,,,,,168 846 [147 709-198 289],168846,147709,198289,,2022-01-26T15:47:00Z,1997,1997-01-01,1997-12-31
28035078,CHILDMORT_DEATHS_10TO14,REGION,AFR,YEAR,1998,SEX,BTSX,,,,,,,168 759 [148 581-197 533],168759,148581,197533,,2022-01-26T15:47:00Z,1998,1998-01-01,1998-12-31
28035079,CHILDMORT_DEATHS_10TO14,REGION,AFR,YEAR,1999,SEX,BTSX,,,,,,,168 763 [149 149-196 603],168763,149149,196603,,2022-01-26T15:47:00Z,1999,1999-01-01,1999-12-31
28035080,CHILDMORT_DEATHS_10TO14,REGION,AFR,YEAR,2000,SEX,BTSX,,,,,,,168 640 [149 651-195 733],168640,149651,195733,,2022-01-26T15:47:00Z,2000,2000-01-01,2000-12-31
28035081,CHILDMORT_DEATHS_10TO14,REGION,AFR,YEAR,2001,SEX,BTSX,,,,,,,167 857 [149 284-194 476],167857,149284,194476,,2022-01-26T15:47:00Z,2001,2001-01-01,2001-12-31
