Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28034879,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,2016,SEX,BTSX,,,,,,,6.87 [5.86-8.7],6.87195,5.85871,8.69503,,2022-01-26T15:46:56Z,2016,2016-01-01,2016-12-31
28034896,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,2002,SEX,BTSX,,,,,,,1.7 [1.63-1.77],1.69788,1.62906,1.76777,,2022-01-26T15:46:57Z,2002,2002-01-01,2002-12-31
28034897,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,2003,SEX,BTSX,,,,,,,1.67 [1.6-1.74],1.66934,1.60011,1.74015,,2022-01-26T15:46:57Z,2003,2003-01-01,2003-12-31
28034900,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,2006,SEX,BTSX,,,,,,,1.6 [1.53-1.67],1.59649,1.5304,1.67213,,2022-01-26T15:46:57Z,2006,2006-01-01,2006-12-31
28034901,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,2007,SEX,BTSX,,,,,,,1.57 [1.51-1.65],1.57378,1.50711,1.6504,,2022-01-26T15:46:57Z,2007,2007-01-01,2007-12-31
28034886,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,1992,SEX,BTSX,,,,,,,2.16 [2.07-2.26],2.15741,2.06663,2.25527,,2022-01-26T15:46:57Z,1992,1992-01-01,1992-12-31
28034887,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,1993,SEX,BTSX,,,,,,,2.1 [2.01-2.19],2.09629,2.00975,2.19205,,2022-01-26T15:46:57Z,1993,1993-01-01,1993-12-31
28034888,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,1994,SEX,BTSX,,,,,,,2.04 [1.96-2.13],2.04262,1.95903,2.13481,,2022-01-26T15:46:57Z,1994,1994-01-01,1994-12-31
28034889,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,1995,SEX,BTSX,,,,,,,1.99 [1.91-2.08],1.99284,1.91255,2.08117,,2022-01-26T15:46:57Z,1995,1995-01-01,1995-12-31
28034882,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,2019,SEX,BTSX,,,,,,,6.44 [5.48-8.69],6.44009,5.48145,8.68634,,2022-01-26T15:46:56Z,2019,2019-01-01,2019-12-31
28034883,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,2020,SEX,BTSX,,,,,,,6.29 [5.34-8.71],6.2923,5.34181,8.70922,,2022-01-26T15:46:56Z,2020,2020-01-01,2020-12-31
28034884,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,1990,SEX,BTSX,,,,,,,2.3 [2.2-2.41],2.30453,2.20288,2.41381,,2022-01-26T15:46:56Z,1990,1990-01-01,1990-12-31
28034885,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,1991,SEX,BTSX,,,,,,,2.23 [2.13-2.33],2.22681,2.13138,2.32886,,2022-01-26T15:46:57Z,1991,1991-01-01,1991-12-31
28034869,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,2006,SEX,BTSX,,,,,,,8.69 [7.71-10.05],8.68895,7.7091,10.05438,,2022-01-26T15:46:56Z,2006,2006-01-01,2006-12-31
28034870,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,2007,SEX,BTSX,,,,,,,8.47 [7.49-9.81],8.47212,7.49475,9.81202,,2022-01-26T15:46:56Z,2007,2007-01-01,2007-12-31
28034853,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,1990,SEX,BTSX,,,,,,,12.31 [10.31-15.55],12.31301,10.30886,15.54928,,2022-01-26T15:46:56Z,1990,1990-01-01,1990-12-31
28034854,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,1991,SEX,BTSX,,,,,,,12.04 [10.17-14.93],12.03574,10.17326,14.93412,,2022-01-26T15:46:56Z,1991,1991-01-01,1991-12-31
28034855,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,1992,SEX,BTSX,,,,,,,11.91 [10.18-14.58],11.9135,10.18134,14.57809,,2022-01-26T15:46:56Z,1992,1992-01-01,1992-12-31
28034856,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,1993,SEX,BTSX,,,,,,,11.96 [10.3-14.46],11.96264,10.29803,14.46308,,2022-01-26T15:46:56Z,1993,1993-01-01,1993-12-31
28034857,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,1994,SEX,BTSX,,,,,,,13.03 [11.37-15.57],13.02739,11.36868,15.57403,,2022-01-26T15:46:56Z,1994,1994-01-01,1994-12-31
28034858,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,1995,SEX,BTSX,,,,,,,11.27 [9.78-13.42],11.2729,9.78069,13.42407,,2022-01-26T15:46:56Z,1995,1995-01-01,1995-12-31
28034859,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,1996,SEX,BTSX,,,,,,,11.02 [9.62-13.0],11.02321,9.61922,12.99959,,2022-01-26T15:46:56Z,1996,1996-01-01,1996-12-31
28034860,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,1997,SEX,BTSX,,,,,,,10.77 [9.43-12.64],10.77312,9.43085,12.63986,,2022-01-26T15:46:56Z,1997,1997-01-01,1997-12-31
28034861,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,1998,SEX,BTSX,,,,,,,10.51 [9.26-12.29],10.51082,9.25992,12.29197,,2022-01-26T15:46:56Z,1998,1998-01-01,1998-12-31
28034862,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,1999,SEX,BTSX,,,,,,,10.27 [9.08-11.95],10.2675,9.07958,11.95118,,2022-01-26T15:46:56Z,1999,1999-01-01,1999-12-31
28034863,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,2000,SEX,BTSX,,,,,,,10.04 [8.91-11.64],10.03699,8.91186,11.6401,,2022-01-26T15:46:56Z,2000,2000-01-01,2000-12-31
28034864,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,2001,SEX,BTSX,,,,,,,9.8 [8.72-11.34],9.79938,8.71983,11.34455,,2022-01-26T15:46:56Z,2001,2001-01-01,2001-12-31
28034865,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,2002,SEX,BTSX,,,,,,,9.58 [8.52-11.05],9.57605,8.52282,11.04692,,2022-01-26T15:46:56Z,2002,2002-01-01,2002-12-31
28034866,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,2003,SEX,BTSX,,,,,,,9.37 [8.35-10.81],9.36866,8.34917,10.80977,,2022-01-26T15:46:56Z,2003,2003-01-01,2003-12-31
28034867,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,2004,SEX,BTSX,,,,,,,9.13 [8.12-10.55],9.12972,8.12406,10.54938,,2022-01-26T15:46:56Z,2004,2004-01-01,2004-12-31
28034868,CHILDMORT_MORTALITY_10TO14,REGION,AFR,YEAR,2005,SEX,BTSX,,,,,,,8.91 [7.92-10.3],8.90778,7.92164,10.29735,,2022-01-26T15:46:56Z,2005,2005-01-01,2005-12-31
28034905,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,2011,SEX,BTSX,,,,,,,1.47 [1.4-1.56],1.47139,1.39798,1.56057,,2022-01-26T15:46:57Z,2011,2011-01-01,2011-12-31
28034906,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,2012,SEX,BTSX,,,,,,,1.45 [1.37-1.54],1.44674,1.37236,1.54048,,2022-01-26T15:46:57Z,2012,2012-01-01,2012-12-31
28034907,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,2013,SEX,BTSX,,,,,,,1.43 [1.35-1.52],1.4255,1.34987,1.52399,,2022-01-26T15:46:57Z,2013,2013-01-01,2013-12-31
28034908,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,2014,SEX,BTSX,,,,,,,1.41 [1.33-1.51],1.4075,1.33084,1.51133,,2022-01-26T15:46:57Z,2014,2014-01-01,2014-12-31
28034909,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,2015,SEX,BTSX,,,,,,,1.39 [1.31-1.5],1.39093,1.3142,1.50225,,2022-01-26T15:46:57Z,2015,2015-01-01,2015-12-31
28034910,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,2016,SEX,BTSX,,,,,,,1.37 [1.3-1.49],1.37367,1.29586,1.49006,,2022-01-26T15:46:57Z,2016,2016-01-01,2016-12-31
28034911,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,2017,SEX,BTSX,,,,,,,1.37 [1.29-1.49],1.36656,1.28858,1.49108,,2022-01-26T15:46:57Z,2017,2017-01-01,2017-12-31
28034912,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,2018,SEX,BTSX,,,,,,,1.35 [1.27-1.48],1.34961,1.27177,1.4832,,2022-01-26T15:46:57Z,2018,2018-01-01,2018-12-31
28034913,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,2019,SEX,BTSX,,,,,,,1.32 [1.24-1.47],1.3242,1.24484,1.46623,,2022-01-26T15:46:57Z,2019,2019-01-01,2019-12-31
28034914,CHILDMORT_MORTALITY_10TO14,REGION,AMR,YEAR,2020,SEX,BTSX,,,,,,,1.31 [1.22-1.46],1.3058,1.22427,1.45865,,2022-01-26T15:46:57Z,2020,2020-01-01,2020-12-31
28034915,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,1990,SEX,BTSX,,,,,,,5.75 [5.0-6.84],5.74718,4.99893,6.83596,,2022-01-26T15:46:57Z,1990,1990-01-01,1990-12-31
28034916,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,1991,SEX,BTSX,,,,,,,5.08 [4.45-6.01],5.07907,4.45425,6.00748,,2022-01-26T15:46:57Z,1991,1991-01-01,1991-12-31
28034917,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,1992,SEX,BTSX,,,,,,,4.91 [4.3-5.81],4.91156,4.30201,5.80954,,2022-01-26T15:46:57Z,1992,1992-01-01,1992-12-31
28034918,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,1993,SEX,BTSX,,,,,,,4.75 [4.16-5.63],4.75215,4.15963,5.63405,,2022-01-26T15:46:57Z,1993,1993-01-01,1993-12-31
28034919,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,1994,SEX,BTSX,,,,,,,4.6 [4.03-5.43],4.60276,4.02551,5.42517,,2022-01-26T15:46:57Z,1994,1994-01-01,1994-12-31
28034920,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,1995,SEX,BTSX,,,,,,,4.46 [3.91-5.21],4.4582,3.90894,5.21156,,2022-01-26T15:46:57Z,1995,1995-01-01,1995-12-31
28034921,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,1996,SEX,BTSX,,,,,,,4.32 [3.8-4.99],4.31942,3.80246,4.99071,,2022-01-26T15:46:57Z,1996,1996-01-01,1996-12-31
28034922,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,1997,SEX,BTSX,,,,,,,4.19 [3.7-4.8],4.18731,3.69948,4.79917,,2022-01-26T15:46:57Z,1997,1997-01-01,1997-12-31
28034923,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,1998,SEX,BTSX,,,,,,,4.14 [3.63-4.72],4.13543,3.63221,4.71959,,2022-01-26T15:46:57Z,1998,1998-01-01,1998-12-31
28034924,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,1999,SEX,BTSX,,,,,,,3.96 [3.49-4.48],3.9574,3.48652,4.47672,,2022-01-26T15:46:57Z,1999,1999-01-01,1999-12-31
28034925,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,2000,SEX,BTSX,,,,,,,3.86 [3.38-4.36],3.85786,3.38219,4.35701,,2022-01-26T15:46:57Z,2000,2000-01-01,2000-12-31
28034926,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,2001,SEX,BTSX,,,,,,,3.77 [3.28-4.26],3.77096,3.28001,4.25619,,2022-01-26T15:46:57Z,2001,2001-01-01,2001-12-31
28034927,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,2002,SEX,BTSX,,,,,,,3.7 [3.18-4.18],3.69819,3.18256,4.18221,,2022-01-26T15:46:57Z,2002,2002-01-01,2002-12-31
28034928,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,2003,SEX,BTSX,,,,,,,3.86 [3.32-4.35],3.85807,3.31529,4.34972,,2022-01-26T15:46:57Z,2003,2003-01-01,2003-12-31
28034929,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,2004,SEX,BTSX,,,,,,,3.59 [3.06-4.1],3.59487,3.06319,4.09568,,2022-01-26T15:46:57Z,2004,2004-01-01,2004-12-31
28034930,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,2005,SEX,BTSX,,,,,,,4.18 [3.54-4.8],4.17886,3.54066,4.7976,,2022-01-26T15:46:57Z,2005,2005-01-01,2005-12-31
28034931,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,2006,SEX,BTSX,,,,,,,3.55 [3.04-4.08],3.55231,3.03917,4.08183,,2022-01-26T15:46:57Z,2006,2006-01-01,2006-12-31
28034932,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,2007,SEX,BTSX,,,,,,,3.55 [3.03-4.13],3.54697,3.02595,4.13271,,2022-01-26T15:46:57Z,2007,2007-01-01,2007-12-31
28034933,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,2008,SEX,BTSX,,,,,,,3.57 [3.01-4.25],3.56822,3.00981,4.24911,,2022-01-26T15:46:57Z,2008,2008-01-01,2008-12-31
28034934,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,2009,SEX,BTSX,,,,,,,3.51 [2.95-4.25],3.51047,2.95102,4.24752,,2022-01-26T15:46:57Z,2009,2009-01-01,2009-12-31
28034935,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,2010,SEX,BTSX,,,,,,,3.52 [2.92-4.34],3.52165,2.92283,4.34495,,2022-01-26T15:46:57Z,2010,2010-01-01,2010-12-31
28034936,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,2011,SEX,BTSX,,,,,,,3.48 [2.86-4.39],3.48267,2.85719,4.3908,,2022-01-26T15:46:57Z,2011,2011-01-01,2011-12-31
28034937,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,2012,SEX,BTSX,,,,,,,3.46 [2.81-4.45],3.46202,2.8077,4.45079,,2022-01-26T15:46:57Z,2012,2012-01-01,2012-12-31
28034938,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,2013,SEX,BTSX,,,,,,,3.43 [2.73-4.51],3.42567,2.73255,4.50836,,2022-01-26T15:46:57Z,2013,2013-01-01,2013-12-31
28034939,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,2014,SEX,BTSX,,,,,,,3.35 [2.61-4.55],3.34615,2.60969,4.54528,,2022-01-26T15:46:58Z,2014,2014-01-01,2014-12-31
28034940,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,2015,SEX,BTSX,,,,,,,3.25 [2.47-4.6],3.25351,2.47078,4.60102,,2022-01-26T15:46:58Z,2015,2015-01-01,2015-12-31
28034941,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,2016,SEX,BTSX,,,,,,,3.16 [2.35-4.64],3.15979,2.3491,4.64063,,2022-01-26T15:46:58Z,2016,2016-01-01,2016-12-31
28034942,CHILDMORT_MORTALITY_10TO14,REGION,EMR,YEAR,2017,SEX,BTSX,,,,,,,3.02 [2.18-4.61],3.0175,2.18416,4.61315,,2022-01-26T15:46:58Z,2017,2017-01-01,2017-12-31
