Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
27815395,CM_04,REGION,AFR,YEAR,1990,SEX,BTSX,,,,,,,386 370 [372 588-416 048],386370,372588,416048,,2022-01-18T13:12:27Z,1990,1990-01-01,1990-12-31
27815396,CM_04,REGION,AFR,YEAR,1991,SEX,BTSX,,,,,,,387 299 [374 610-416 405],387299,374610,416405,,2022-01-18T13:12:27Z,1991,1991-01-01,1991-12-31
27815397,CM_04,REGION,AFR,YEAR,1992,SEX,BTSX,,,,,,,391 969 [380 227-420 869],391969,380227,420869,,2022-01-18T13:12:27Z,1992,1992-01-01,1992-12-31
27815398,CM_04,REGION,AFR,YEAR,1993,SEX,BTSX,,,,,,,395 293 [384 480-423 785],395293,384480,423785,,2022-01-18T13:12:27Z,1993,1993-01-01,1993-12-31
27815399,CM_04,REGION,AFR,YEAR,1994,SEX,BTSX,,,,,,,407 137 [397 033-435 556],407137,397033,435556,,2022-01-18T13:12:27Z,1994,1994-01-01,1994-12-31
27815400,CM_04,REGION,AFR,YEAR,1995,SEX,BTSX,,,,,,,385 194 [375 830-412 036],385194,375830,412036,,2022-01-18T13:12:27Z,1995,1995-01-01,1995-12-31
27815401,CM_04,REGION,AFR,YEAR,1996,SEX,BTSX,,,,,,,383 336 [374 519-409 575],383336,374519,409575,,2022-01-18T13:12:27Z,1996,1996-01-01,1996-12-31
27815402,CM_04,REGION,AFR,YEAR,1997,SEX,BTSX,,,,,,,380 741 [372 415-406 434],380741,372415,406434,,2022-01-18T13:12:27Z,1997,1997-01-01,1997-12-31
27815403,CM_04,REGION,AFR,YEAR,1998,SEX,BTSX,,,,,,,376 756 [368 864-401 635],376756,368864,401635,,2022-01-18T13:12:27Z,1998,1998-01-01,1998-12-31
27815404,CM_04,REGION,AFR,YEAR,1999,SEX,BTSX,,,,,,,372 073 [364 700-396 356],372073,364700,396356,,2022-01-18T13:12:27Z,1999,1999-01-01,1999-12-31
