Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
27816914,WHOSIS_000016,REGION,AFR,YEAR,1990,SEX,BTSX,,,,,,,25.16 [24.27-27.07],25.16156,24.27493,27.06815,,2022-01-18T13:12:51Z,1990,1990-01-01,1990-12-31
27816915,WHOSIS_000016,REGION,AFR,YEAR,1991,SEX,BTSX,,,,,,,24.52 [23.73-26.34],24.5241,23.73016,26.34283,,2022-01-18T13:12:51Z,1991,1991-01-01,1991-12-31
27816916,WHOSIS_000016,REGION,AFR,YEAR,1992,SEX,BTSX,,,,,,,24.17 [23.46-25.93],24.17086,23.45529,25.92985,,2022-01-18T13:12:51Z,1992,1992-01-01,1992-12-31
27816917,WHOSIS_000016,REGION,AFR,YEAR,1993,SEX,BTSX,,,,,,,23.8 [23.16-25.5],23.80291,23.15932,25.49674,,2022-01-18T13:12:51Z,1993,1993-01-01,1993-12-31
27816918,WHOSIS_000016,REGION,AFR,YEAR,1994,SEX,BTSX,,,,,,,24.01 [23.42-25.66],24.0086,23.41973,25.66294,,2022-01-18T13:12:51Z,1994,1994-01-01,1994-12-31
27816919,WHOSIS_000016,REGION,AFR,YEAR,1995,SEX,BTSX,,,,,,,22.34 [21.8-23.88],22.33908,21.80191,23.87716,,2022-01-18T13:12:51Z,1995,1995-01-01,1995-12-31
27816920,WHOSIS_000016,REGION,AFR,YEAR,1996,SEX,BTSX,,,,,,,21.72 [21.22-23.19],21.71856,21.2243,23.18796,,2022-01-18T13:12:51Z,1996,1996-01-01,1996-12-31
27816921,WHOSIS_000016,REGION,AFR,YEAR,1997,SEX,BTSX,,,,,,,21.1 [20.65-22.51],21.10281,20.64611,22.51083,,2022-01-18T13:12:51Z,1997,1997-01-01,1997-12-31
27816922,WHOSIS_000016,REGION,AFR,YEAR,1998,SEX,BTSX,,,,,,,20.47 [20.04-21.8],20.46604,20.04165,21.80276,,2022-01-18T13:12:51Z,1998,1998-01-01,1998-12-31
27816923,WHOSIS_000016,REGION,AFR,YEAR,1999,SEX,BTSX,,,,,,,19.84 [19.45-21.12],19.84312,19.45376,21.12451,,2022-01-18T13:12:51Z,1999,1999-01-01,1999-12-31
27816924,WHOSIS_000016,REGION,AFR,YEAR,2000,SEX,BTSX,,,,,,,19.2 [18.84-20.44],19.20494,18.84306,20.43622,,2022-01-18T13:12:51Z,2000,2000-01-01,2000-12-31
27816925,WHOSIS_000016,REGION,AFR,YEAR,2001,SEX,BTSX,,,,,,,18.57 [18.23-19.74],18.57397,18.23148,19.74386,,2022-01-18T13:12:51Z,2001,2001-01-01,2001-12-31
27816926,WHOSIS_000016,REGION,AFR,YEAR,2002,SEX,BTSX,,,,,,,17.95 [17.61-19.08],17.95053,17.61473,19.08425,,2022-01-18T13:12:51Z,2002,2002-01-01,2002-12-31
27816927,WHOSIS_000016,REGION,AFR,YEAR,2003,SEX,BTSX,,,,,,,17.35 [17.03-18.45],17.35468,17.03048,18.45082,,2022-01-18T13:12:51Z,2003,2003-01-01,2003-12-31
27816928,WHOSIS_000016,REGION,AFR,YEAR,2004,SEX,BTSX,,,,,,,16.7 [16.39-17.78],16.70414,16.3918,17.77621,,2022-01-18T13:12:51Z,2004,2004-01-01,2004-12-31
27816929,WHOSIS_000016,REGION,AFR,YEAR,2005,SEX,BTSX,,,,,,,16.08 [15.76-17.13],16.07594,15.75967,17.12771,,2022-01-18T13:12:51Z,2005,2005-01-01,2005-12-31
27816930,WHOSIS_000016,REGION,AFR,YEAR,2006,SEX,BTSX,,,,,,,15.46 [15.14-16.49],15.45519,15.1429,16.49473,,2022-01-18T13:12:51Z,2006,2006-01-01,2006-12-31
27816931,WHOSIS_000016,REGION,AFR,YEAR,2007,SEX,BTSX,,,,,,,14.85 [14.54-15.88],14.84926,14.53739,15.8765,,2022-01-18T13:12:51Z,2007,2007-01-01,2007-12-31
27816932,WHOSIS_000016,REGION,AFR,YEAR,2008,SEX,BTSX,,,,,,,14.28 [13.95-15.29],14.27626,13.95114,15.28802,,2022-01-18T13:12:51Z,2008,2008-01-01,2008-12-31
27816933,WHOSIS_000016,REGION,AFR,YEAR,2009,SEX,BTSX,,,,,,,13.73 [13.39-14.73],13.72958,13.393980000000001,14.73332,,2022-01-18T13:12:51Z,2009,2009-01-01,2009-12-31
27816934,WHOSIS_000016,REGION,AFR,YEAR,2010,SEX,BTSX,,,,,,,13.22 [12.87-14.22],13.22305,12.86968,14.2232,,2022-01-18T13:12:51Z,2010,2010-01-01,2010-12-31
27816935,WHOSIS_000016,REGION,AFR,YEAR,2011,SEX,BTSX,,,,,,,12.76 [12.39-13.75],12.7573,12.38756,13.75045,,2022-01-18T13:12:51Z,2011,2011-01-01,2011-12-31
27816936,WHOSIS_000016,REGION,AFR,YEAR,2012,SEX,BTSX,,,,,,,12.33 [11.93-13.31],12.32567,11.93334,13.30753,,2022-01-18T13:12:51Z,2012,2012-01-01,2012-12-31
