Dimension,Code,Title,ParentDimension,ParentCode,ParentTitle
CHILDCAUSE,CH10,Prematurity,,,
CHILDCAUSE,CH11,Birth asphyxia and birth trauma,,,
CHILDCAUSE,CH12,Sepsis and other infectious conditions of the newborn,,,
CHILDCAUSE,CH13,"Other communicable, perinatal and nutritional conditions",,,
CHILDCAUSE,CH15,Congenital anomalies,,,
CHILDCAUSE,CH16,Other noncommunicable diseases,,,
CHILDCAUSE,CH17,Injuries,,,
CHILDCAUSE,CH2,HIV/AIDS,,,
CHILDCAUSE,CH3,Diarrhoeal diseases,,,
CHILDCAUSE,CH4,Pertussis,,,
CHILDCAUSE,CH5,Tetanus,,,
CHILDCAUSE,CH6,Measles,,,
CHILDCAUSE,CH7,Meningitis/encephalitis,,,
CHILDCAUSE,CH8,Malaria,,,
CHILDCAUSE,CH9,Acute lower respiratory infections,,,
