Dimension,Code,Title,ParentDimension,ParentCode,ParentTitle
GHO,CHILDMORT_DEATHS_10TO14,Number of deaths among children ages 10 to 14 years,,,
GHO,CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),,,
GHO,CM_01,Number of deaths among children under-five,,,
GHO,CM_02,Number of infant deaths (between birth and 11 months),,,
GHO,CM_03,Number of neonatal deaths (0 to 27 days),,,
GHO,CM_04,Number of deaths among children ages 5 to 9 years,,,
GHO,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),,,
GHO,MDG_0000000007,Under-five mortality rate (per 1000 live births) (SDG 3.2.1),,,
GHO,MORT_100,"Deaths in children aged <5 years, by cause",,,
GHO,MORT_200,"Deaths in children aged <5 years, by cause (per 1 000 live births)",,,
GHO,MORT_300,Distribution of causes of death among children aged < 5 years (%),,,
GHO,WHOSIS_000003,Neonatal mortality rate (0 to 27 days) per 1000 live births) (SDG 3.2.2),,,
GHO,WHOSIS_000014,Stillbirth rate (per 1000 total births),,,
GHO,WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),,,
