Dimension,Code,Title,ParentDimension,ParentCode,ParentTitle
MGHEREG,MDG_CCA,Caucasus and Central Asia,,,
MGHEREG,MDG_DEV,Developed regions,,,
MGHEREG,MDG_EAEXCH,Eastern Asia excluding China,,,
MGHEREG,MDG_EAS,Eastern Asia,,,
MGHEREG,MDG_LAC,Latin America and the Caribbean,,,
MGHEREG,MDG_NAF,Northern Africa,,,
MGHEREG,MDG_OCE,Oceania,,,
MGHEREG,MDG_SAEXIND,Southern Asia excluding India,,,
MGHEREG,MDG_SEA,South-eastern Asia,,,
MGHEREG,MDG_SOA,Southern Asia,,,
MGHEREG,MDG_SSA,Sub-Saharan Africa (MDG),,,
MGHEREG,MDG_WAS,Western Asia,,,
MGHEREG,REG6_AFR,Africa Region,,,
MGHEREG,REG6_AMR,Region of the Americas,,,
MGHEREG,REG6_EMR,Eastern Mediterranean Region,,,
MGHEREG,REG6_EUR,European Region,,,
MGHEREG,REG6_SEAR,South-East Asia Region,,,
MGHEREG,REG6_WPR,Western Pacific Region,,,
MGHEREG,REG7_AFR,African Region (LMIC),,,
MGHEREG,REG7_AHIGH,High-income countries,,,
MGHEREG,REG7_AMR,Region of the Americas (LMIC),,,
MGHEREG,REG7_EMR,Eastern Mediterranean Region (LMIC),,,
MGHEREG,REG7_EUR,European Region (LMIC),,,
MGHEREG,REG7_SEAR,South-East Asia Region (LMIC),,,
MGHEREG,REG7_WPR,Western Pacific Region (LMIC),,,
MGHEREG,SDG_AUSNZL,Australia and New Zealand,,,
MGHEREG,SDG_CENSOUASIA,Central Asia and Southern Asia,,,
MGHEREG,SDG_ESEASIA,Eastern Asia and South-eastern Asia,,,
MGHEREG,SDG_NORAMEUR,Northern America and Europe,,,
MGHEREG,SDG_OCEANIAexAUSNZL,Oceania excluding Australia and New Zealand,,,
MGHEREG,SDG_WASIANAFRICA,Western Asia and Northern Africa,,,
MGHEREG,UNICEF_CEECIS,"Central and Eastern Europe, Commonwealth of Independent States",,,
MGHEREG,UNICEF_EAPRO,East Asia and the Pacific,,,
MGHEREG,UNICEF_ESARO,Eastern and Southern Africa,,,
MGHEREG,UNICEF_IND,Industrialized,,,
MGHEREG,UNICEF_MENA,Middle East and North Africa (UNICEF),,,
MGHEREG,UNICEF_ROSA,South Asia (UNICEF),,,
MGHEREG,UNICEF_TACRO,The Americas and Caribbean,,,
MGHEREG,UNICEF_WCARO,West and Central Africa,,,
MGHEREG,WBDCP_EAP,East Asia and Pacific,,,
MGHEREG,WBDCP_EURCASIA,Europe and Central Asia,,,
MGHEREG,WBDCP_HIINCOME,High income,,,
MGHEREG,WBDCP_LAC,Latin America and Caribbean,,,
MGHEREG,WBDCP_MIDEASTNAF,Middle East and North Africa (WBDCP),,,
MGHEREG,WBDCP_SASIA,South Asia (WBDCP),,,
MGHEREG,WBDCP_SSA,Sub-Saharan Africa (WBDCP),,,
MGHEREG,WBINC_HIINC,High-income,,,
MGHEREG,WBINC_LMINC,Lower-middle-income,,,
MGHEREG,WBINC_LOINC,Low-income,,,
MGHEREG,WBINC_UMINC,Upper-middle-income,,,
