Dimension,Code,Title,ParentDimension,ParentCode,ParentTitle
UNSDGREGION,UNSDG_AUSTRALIANEWZEALAND,Australia and New Zealand,,,
UNSDGREGION,UNSDG_CARIBBEAN,Caribbean,,,
UNSDGREGION,UNSDG_CCA,Caucasus and Central Asia,,,
UNSDGREGION,UNSDG_CENTRALAMR,Central America,,,
UNSDGREGION,UNSDG_CENTRALASIA,Central Asia,,,
UNSDGREGION,UNSDG_CENTRALASIASOUTHERNASIA,Central Asia and Southern Asia,,,
UNSDGREGION,UNSDG_DEVELOPED,Developed regions,,,
UNSDGREGION,UNSDG_DEVELOPING,Developing regions,,,
UNSDGREGION,UNSDG_EASTERNAFR,Eastern Africa,,,
UNSDGREGION,UNSDG_EASTERNASIA,Eastern Asia,,,
UNSDGREGION,UNSDG_EASTERNASIASOUTHEASTERNASIA,Eastern Asia and South-eastern Asia,,,
UNSDGREGION,UNSDG_EUROPE,Europe,,,
UNSDGREGION,UNSDG_EUROPENORTHERNAMERICAAUSTRALIANEWZEALAND,"Europe, Northern America, Australia and New Zealand",,,
UNSDGREGION,UNSDG_EUROPENORTHERNAMR,Europe and Northern America,,,
UNSDGREGION,UNSDG_LAC,Latin America and the Caribbean,,,
UNSDGREGION,UNSDG_LDC,Least developed countries (LDC),,,
UNSDGREGION,UNSDG_LEASTDEVELOPED,Least developed countries,,,
UNSDGREGION,UNSDG_LLDC,Landlocked developing countries (LLDCs),,,
UNSDGREGION,UNSDG_MELANESIA,Melanesia,,,
UNSDGREGION,UNSDG_MICRONESIA,Micronesia,,,
UNSDGREGION,UNSDG_MIDDLEAFR,Middle Africa,,,
UNSDGREGION,UNSDG_NORTHAFR,Northern Africa,,,
UNSDGREGION,UNSDG_NORTHERNAMR,Northern America,,,
UNSDGREGION,UNSDG_OCEANIA,Oceania,,,
UNSDGREGION,UNSDG_OCEANIAexAUSNZL,Oceania excluding Australia and New Zealand,,,
UNSDGREGION,UNSDG_POLYNESIA,Polynesia,,,
UNSDGREGION,UNSDG_SIDS,Small Island developing States (SIDS),,,
UNSDGREGION,UNSDG_SOUTHAMR,South America,,,
UNSDGREGION,UNSDG_SOUTHASIA,Southern Asia,,,
UNSDGREGION,UNSDG_SOUTHEASTERNASIA,South-eastern Asia,,,
UNSDGREGION,UNSDG_SOUTHERNAFR,Southern Africa,,,
UNSDGREGION,UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,,,
UNSDGREGION,UNSDG_WESTERNAFR,Western Africa,,,
UNSDGREGION,UNSDG_WESTERNASIA,Western Asia,,,
UNSDGREGION,UNSDG_WESTERNASIANORTHERNAFR,Western Asia and Northern Africa,,,
UNSDGREGION,UNSDG_WORLD,World,,,
